Band,rock,pop,folk,alternative,world,instrumental,classic,country,blues,rnb,hiphop,electronic,asian,metal
The Killers,1.55415766268,0.300774871345,0.171013219016,0.736968514048,0.00596693610686,0.0412029688589,0.00673577744693,0.021567455153,0.0222313488915,0.00272448904444,0.0301997568983,0.162186620785,0.000403930919873,0.0106532127764
Taylor Swift,0,1,0,0,0,0,0,1,0,0,0,0,0,0
G.R.L.,0.139235714166,1.4879314055,0.0101789227104,0.136497245542,0.0195952769819,0.0403541159962,0.0210910152253,0.00420116885234,0.00681471691232,0.171373998908,0.157134425255,0.816813362473,0.00252147645225,0.00540353519164
Avicii,0.0527619928848,0.218858585634,0.00401038853808,0.0608673080942,0.00703425253253,0.0450424198566,0.0125175554679,0.00358149052675,0.00109190162224,0.0547643051721,0.072979612581,1.96695027096,5.21712605102e-05,0.00540260744462
Green Day,1.81253013219,0.0880680361031,0.014281761177,0.571168235904,0.00545955969125,0.0105738256665,0.0150069044603,0.00321263497692,0.00926467525839,0.00792321976339,0.0194943987899,0.0219011277662,0.000557924739037,0.0649301795786
Coldplay,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sheppard,1.11370082776,0.737240524468,0.303931113991,1.40686882781,0.0112335507647,0.0858031068905,0.0181952587341,0.0427420174628,0.0361752492597,0.034868135046,0.0573902889093,0.318448522342,0.0236528490011,0.0319540598378
AC/DC,1.73877107247,0.401152165286,0.0971778635551,0.484999265732,0.00297067609886,0.0815797900614,0.05654472213,0.0433364420939,0.266335365042,0.0168026883721,0.0225963289422,0.0448367220439,0.000142150512615,0.480677997777
JAY Z,0.0531471994322,0.0666994083796,0.00190771394024,0.0488472966308,0.00200904284693,0.00938012586074,0.0257865158477,0.00133343330102,0.0035267845363,0.0796900497706,1.99009896329,0.0531794518346,1.60322621201e-05,0.00954815148288
Mumford & Sons,0.55415766268,0.300774871345,1.17101321902,0.736968514048,0.00596693610686,0.0412029688589,0.00673577744693,0.021567455153,0.0222313488915,0.00272448904444,0.0301997568983,0.162186620785,0.000403930919873,0.0106532127764
Meghan Trainor,0.243165590812,1.62969694537,0.0376427778256,0.0787871489728,0.0149120957542,0.0577372607987,0.0454430709186,0.00744367916312,0.147558757785,0.66955767267,0.236415183264,0.0690724076209,0.000473545049531,0.0175211668326
David Guetta,0.191997707051,0.706789991133,0.0141893112485,0.197364553636,0.0266295295145,0.0853965358528,0.0336085706932,0.00778265937909,0.00790661853455,0.22613830408,0.230114037836,1.78376363344,0.00257364771276,0.0108061426363
Swedish House Mafia,0.0527619928848,0.218858585634,0.00401038853808,0.0608673080942,0.00703425253253,0.0450424198566,0.0125175554679,0.00358149052675,0.00109190162224,0.0547643051721,0.072979612581,1.96695027096,5.21712605102e-05,0.00540260744462
AronChupa,0.139235714166,0.487931405499,0.0101789227104,0.136497245542,0.0195952769819,0.0403541159962,0.0210910152253,0.00420116885234,0.00681471691232,0.171373998908,0.157134425255,1.81681336247,0.00252147645225,0.00540353519164
Led Zeppelin,1.89485613796,0.351023195109,0.089443186869,0.118722559732,0.00211018136133,0.0456599194605,0.0376764321273,0.0390282716287,0.193709960847,0.0100276725518,0.0094715863641,0.0290380105307,8.7081662637e-05,0.101641775939
Klingande,0.394665611967,0.73729141538,0.0974234015725,0.456915590733,0.154875653644,0.208836633567,0.0260472730727,0.00524490460442,0.0150240895144,0.0778963701047,0.36730316509,1.52316810141,0.00136518799004,0.0614569365492
Cazzette,0.479208631423,0.944240354064,0.112893190224,0.504222044863,0.0148779802463,0.102370479934,0.0173933941203,0.0153350805734,0.0246257192444,0.0610809121409,0.104564989186,1.21719551083,0.0142213364276,0.130386185334
Icona Pop,0.116474828196,0.402500932133,0.00553231608102,0.226028356931,0.00572097775642,0.0347106919,0.00381991268554,0.000110863046373,0.000177547585544,0.0233923806369,0.030440658575,1.87781082266,6.08397431176e-05,0.00541395102399
Pink Floyd,1.73459596089,0.480254123109,0.148121968074,0.482693647507,0.009215465948,0.306212774368,0.0523809028029,0.0480745111961,0.291339979801,0.020445529148,0.0339254306359,0.230035860856,0.00105366298475,0.254424958291
Radiohead,0.556595783456,0.134830948172,0.0294765925203,1.81408307665,0.00263536682832,0.0144483853584,0.00506512043802,0.00695121604369,0.0224230235829,0.00209162875682,0.0157301852092,0.0531805085228,0.000152635254055,0.067447407655
Dire Straits,1.89485613796,0.351023195109,0.089443186869,0.118722559732,0.00211018136133,0.0456599194605,0.0376764321273,0.0390282716287,0.193709960847,0.0100276725518,0.0094715863641,0.0290380105307,8.7081662637e-05,0.101641775939
King Crimson,1.21566890716,0.243413407765,0.157605731026,0.902838035986,0.0367412411431,0.515423740698,0.0244578594992,0.0123544228921,0.11896866839,0.0161166093002,0.138390582865,0.880066103793,0.0036031715489,0.222940049672
Pearl Jam,1.48926648502,0.060479195934,0.0249807483673,0.863380743069,0.00196896533931,0.0127337839567,0.012049497162,0.0128279518643,0.0200845878902,0.00201119821906,0.0284004701972,0.0258094259536,0.00772393853915,0.0921664114614
Els Amics De Les Arts,0.241490358647,1.07197864324,0.621851244907,0.0325713413544,0.703440444423,0.00603172988044,0.0100528831341,0.00337776873305,0.0161260025571,0.0197350061259,0.213623766599,0.0199569163117,0.0818964761111,0.0193485074916
Lil Jon,0.0950654018023,0.176997983556,0.00283395900634,0.0979972203643,0.00238029699179,0.0160498096993,0.0330723784406,0.00173562529129,0.00451705384019,0.195554858966,1.96751831317,0.149769983343,0.0736942774163,0.0150447753498
Arctic Monkeys,1.16109227515,0.48316228937,0.267821879127,1.49694529277,0.00739109902828,0.0638312502929,0.0118352847537,0.0368710181732,0.0472681984104,0.00369988976027,0.0405844230595,0.261475641199,0.000409111084781,0.0184228691128
Brandon Flowers,1.11075344614,0.435605819517,0.200489811536,1.5510515907,0.00860230293518,0.0556513542173,0.0118008978849,0.0285186711966,0.0446543724744,0.00481611780127,0.0459299421075,0.215367129308,0.000556566173928,0.0781006204314
The Strokes,1.16109227515,0.48316228937,0.267821879127,1.49694529277,0.00739109902828,0.0638312502929,0.0118352847537,0.0368710181732,0.0472681984104,0.00369988976027,0.0405844230595,0.261475641199,0.000409111084781,0.0184228691128
Franz Ferdinand,1.16109227515,0.48316228937,0.267821879127,1.49694529277,0.00739109902828,0.0638312502929,0.0118352847537,0.0368710181732,0.0472681984104,0.00369988976027,0.0405844230595,0.261475641199,0.000409111084781,0.0184228691128
Kings of Leon,1.55415766268,0.300774871345,0.171013219016,0.736968514048,0.00596693610686,0.0412029688589,0.00673577744693,0.021567455153,0.0222313488915,0.00272448904444,0.0301997568983,0.162186620785,0.000403930919873,0.0106532127764
Keane,1.17074226505,0.623789787964,0.205376201248,1.44568915028,0.00795976002363,0.0552061491347,0.0151399466475,0.0250276580879,0.032684048671,0.0187291769225,0.05729564121,0.265117622709,0.000453739229558,0.0171327167997
Kaiser Chiefs,1.16109227515,0.48316228937,0.267821879127,1.49694529277,0.00739109902828,0.0638312502929,0.0118352847537,0.0368710181732,0.0472681984104,0.00369988976027,0.0405844230595,0.261475641199,0.000409111084781,0.0184228691128
The Kooks,1.16109227515,0.48316228937,0.267821879127,1.49694529277,0.00739109902828,0.0638312502929,0.0118352847537,0.0368710181732,0.0472681984104,0.00369988976027,0.0405844230595,0.261475641199,0.000409111084781,0.0184228691128
The Vaccines,1.16109227515,0.48316228937,0.267821879127,1.49694529277,0.00739109902828,0.0638312502929,0.0118352847537,0.0368710181732,0.0472681984104,0.00369988976027,0.0405844230595,0.261475641199,0.000409111084781,0.0184228691128
One Direction,0.679402986225,1.42076161429,0.0622684012907,0.544238327226,0.0048953376717,0.0300558019232,0.016596852597,0.00702434561043,0.0311718260953,0.0571894395729,0.0762822519375,0.222618055149,0.000338451291253,0.0206449362397
Ed Sheeran,1.17874558691,0.792144860903,0.644789055219,1.01096429455,0.0518077222685,0.185997269378,0.0316888709765,0.109150730891,0.137215538807,0.0652092880748,0.0931410494644,0.298074684609,0.000651100080005,0.0538762927104
Nick Jonas,0.610122547859,1.6884594498,0.0443448602054,0.384398553542,0.00622196948859,0.00972066620932,0.00966038911298,0.00827633813042,0.0120311872689,0.0127486563587,0.0196834504706,0.0549423208947,0.000122068692582,0.00607728426404
